"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAEV","DAEV_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDEV","MDEV_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USC00044534","1955-02-11","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   83",",,0",,,,,,,"   58",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  135",",,0",,
"USC00044534","1955-02-12","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  194",",,0","   61",",,0",,,,,,,"   46",",,0,0800",,,,,,,,,,,"   67",",,0,0800","   85",",,0",,
"USC00044534","1955-02-13","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   61",",,0",,,,,,,"   23",",,0,0800",,,,,,,,,,,"  106",",,0,0800","   11",",,0",,
"USC00044534","1955-02-14","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  206",",,0","   67",",,0",,,,,,,"   30",",,0,0800",,,,,,,,,,,"  117",",,0,0800","    0",",,0",,
"USC00044534","1955-02-15","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","  100",",,0",,,,,,,"   25",",,0,0800",,,,,,,,,,,"  128",",,0,0800","   53",",,0",,
"USC00044534","1955-02-16","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   18",",,0,0800","    0",",,0","    0",",,0","  217",",,0","  117",",,0",,,,,,,"   25",",,0,0800",,,,,,,,,,,"  122",",,0,0800","   45",",,0",,
"USC00044534","1955-02-17","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   76",",,0,0800","    0",",,0","    0",",,0","  144",",,0","  106",",,0",,,,,,,"   20",",,0,0800",,,,,,,,,,,"  111",",,0,0800","  100",",,0",,
"USC00044534","1955-02-18","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   97",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   44",",,0",,,,,,,"   20",",,0,0800",,,,,,,,,,,"   72",",,0,0800","  109",",,0",,
"USC00044534","1955-02-19","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  111",",,0","   -6",",,0",,,,,,,"   48",",,0,0800",,,,,,,,,,,"   28",",,0,0800","  166",",,0",,
"USC00044534","1955-02-20","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  117",",,0","  -17",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   22",",,0,0800","   64",",,0",,
"USC00044534","1955-02-21","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  128",",,0","    6",",,0",,,,,,,"   33",",,0,0800",,,,,,,,,,,"   50",",,0,0800","   39",",,0",,
"USC00044534","1955-02-22","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  161",",,0","   11",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   50",",,0,0800","   39",",,0",,
"USC00044534","1955-02-23","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  178",",,0","   44",",,0",,,,,,,"   23",",,0,0800",,,,,,,,,,,"   50",",,0,0800","   21",",,0",,
"USC00044534","1955-02-24","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   44",",,0",,,,,,,"   30",",,0,0800",,,,,,,,,,,"   56",",,0,0800","   42",",,0",,
"USC00044534","1955-02-25","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   22",",,0",,,,,,,"   46",",,0,0800",,,,,,,,,,,"   72",",,0,0800","   48",",,0",,
"USC00044534","1955-02-26","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   22",",,0",,,,,,,"   46",",,0,0800",,,,,,,,,,,"   78",",,0,0800","  166",",,0",,
"USC00044534","1955-02-27","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   89",",,0,0800","    0",",,0","    0",",,0","  178",",,0","   44",",,0",,,,,,,"   43",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  274",",,0",,
"USC00044534","1955-02-28","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    8",",,0,0800","    0",",,0","    0",",,0","  206",",,0","  -11",",,0",,,,,,,"   46",",,0,0800",,,,,,,,,,,"   61",",,0,0800","  101",",,0",,
"USC00044534","1955-03-01","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","    0",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   50",",,0,0800","   68",",,0",,
"USC00044534","1955-03-02","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  150",",,0","   11",",,0",,,,,,,"   20",",,0,0800",,,,,,,,,,,"   72",",,0,0800","   40",",,0",,
"USC00044534","1955-03-03","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   39",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   89",",,0,0800","   42",",,0",,
"USC00044534","1955-03-04","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   28",",,0",,,,,,,"   30",",,0,0800",,,,,,,,,,,"   72",",,0,0800","   39",",,0",,
"USC00044534","1955-03-05","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   44",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"   72",",,0,0800","   80",",,0",,
"USC00044534","1955-03-06","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   39",",,0",,,,,,,"   61",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  101",",,0",,
"USC00044534","1955-03-07","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  194",",,0","   44",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"  100",",,0,0800","   74",",,0",,
"USC00044534","1955-03-08","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  233",",,0","   72",",,0",,,,,,,"   69",",,0,0800",,,,,,,,,,,"  117",",,0,0800","   11",",,0",,
"USC00044534","1955-03-09","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   28",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   83",",,0",,,,,,,"   74",",,0,0800",,,,,,,,,,,"  156",",,0,0800","  106",",,0",,
"USC00044534","1955-03-10","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    3",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   89",",,0",,,,,,,"   41",",,0,0800",,,,,,,,,,,"  111",",,0,0800","   53",",,0",,
"USC00044534","1955-03-11","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0","T,,0,0800","    0",",,0","    0",",,0","  194",",,0","  111",",,0",,,,,,,"   28",",,0,0800",,,,,,,,,,,"  117",",,0,0800",,,,
"USC00044534","1955-03-12","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   94",",,0",,,,,,,"   53",",,0,0800",,,,,,,,,,,"  106",",,0,0800","   85",",,0",,
"USC00044534","1955-03-13","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  211",",,0","   72",",,0",,,,,,,"   58",",,0,0800",,,,,,,,,,,"   83",",,0,0800","  100",",,0",,
"USC00044534","1955-03-14","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   61",",,0",,,,,,,"   43",",,0,0800",,,,,,,,,,,"   72",",,0,0800","   80",",,0",,
"USC00044534","1955-03-15","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  150",",,0","   11",",,0",,,,,,,"   48",",,0,0800",,,,,,,,,,,"   78",",,0,0800","  140",",,0",,
"USC00044534","1955-03-16","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  156",",,0","   22",",,0",,,,,,,"   51",",,0,0800",,,,,,,,,,,"   89",",,0,0800","   97",",,0",,
"USC00044534","1955-03-17","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   33",",,0",,,,,,,"   64",",,0,0800",,,,,,,,,,,"  100",",,0,0800","  103",",,0",,
"USC00044534","1955-03-18","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   33",",,0",,,,,,,"   51",",,0,0800",,,,,,,,,,,"   94",",,0,0800","   47",",,0",,
"USC00044534","1955-03-19","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  211",",,0","   44",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"  100",",,0,0800","   40",",,0",,
"USC00044534","1955-03-20","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   83",",,0",,,,,,,,,,,,,,,,,,,"  100",",,0,0800","  167",",,0",,
"USC00044534","1955-03-21","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   28",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  163",",,0",,
"USC00044534","1955-03-22","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  206",",,0","   50",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"   83",",,0,0800","   76",",,0",,
"USC00044534","1955-03-23","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   33",",,0",,,,,,,"   61",",,0,0800",,,,,,,,,,,"   61",",,0,0800","   77",",,0",,
"USC00044534","1955-03-24","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  211",",,0","   67",",,0",,,,,,,"   61",",,0,0800",,,,,,,,,,,"  111",",,0,0800","   71",",,0",,
"USC00044534","1955-03-25","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  233",",,0","  100",",,0",,,,,,,"   66",",,0,0800",,,,,,,,,,,"  122",",,0,0800","   87",",,0",,
"USC00044534","1955-03-26","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   89",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  144",",,0,0800","  117",",,0",,
"USC00044534","1955-03-27","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  261",",,0","  122",",,0",,,,,,,"   81",",,0,0800",,,,,,,,,,,"  139",",,0,0800","   90",",,0",,
"USC00044534","1955-03-28","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  267",",,0","  128",",,0",,,,,,,"   64",",,0,0800",,,,,,,,,,,"  144",",,0,0800","   97",",,0",,
"USC00044534","1955-03-29","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  267",",,0","   83",",,0",,,,,,,"  114",",,0,0800",,,,,,,,,,,"  128",",,0,0800","  225",",,0",,
"USC00044534","1955-03-30","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","   56",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  100",",,0,0800","  161",",,0",,
"USC00044534","1955-03-31","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   22",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  128",",,0,0800","  167",",,0",,
"USC00044534","1955-04-01","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","  128",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  167",",,0,0800","   98",",,0",,
"USC00044534","1955-04-02","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   50",",,0",,,,,,,"   89",",,0,0800",,,,,,,,,,,"  106",",,0,0800","  172",",,0",,
"USC00044534","1955-04-03","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   17",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  169",",,0",,
"USC00044534","1955-04-04","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   56",",,0",,,,,,,,,,,,,,,,,,,"  100",",,0,0800","  137",",,0",,
"USC00044534","1955-04-05","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0","T,,0,0800","    0",",,0","    0",",,0","  183",",,0","   17",",,0",,,,,,,"   46",",,0,0800",,,,,,,,,,,"  117",",,0,0800","   98",",,0",,
"USC00044534","1955-04-06","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  206",",,0","   56",",,0",,,,,,,"   71",",,0,0800",,,,,,,,,,,"  106",",,0,0800","   95",",,0",,
"USC00044534","1955-04-07","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  250",",,0","   78",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  122",",,0,0800",,,,
"USC00044534","1955-04-08","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  283",",,0","   83",",,0",,,,,,,"   89",",,0,0800",,,,,,,,,,,"  156",",,0,0800","  105",",,0",,
"USC00044534","1955-04-09","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  289",",,0","  111",",,0",,,,,,,"   97",",,0,0800",,,,,,,,,,,"  117",",,0,0800","  127",",,0",,
"USC00044534","1955-04-10","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  294",",,0","  117",",,0",,,,,,,"  102",",,0,0800",,,,,,,,,,,"  144",",,0,0800",,,,
"USC00044534","1955-04-11","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  228",",,0","   78",",,0",,,,,,,"   99",",,0,0800",,,,,,,,,,,"  122",",,0,0800","  198",",,0",,
"USC00044534","1955-04-12","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   78",",,0",,,,,,,"   91",",,0,0800",,,,,,,,,,,"  139",",,0,0800","  198",",,0",,
"USC00044534","1955-04-13","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","  100",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  133",",,0,0800","  122",",,0",,
"USC00044534","1955-04-14","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  261",",,0","   78",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  106",",,0,0800","  137",",,0",,
"USC00044534","1955-04-15","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   72",",,0",,,,,,,"   89",",,0,0800",,,,,,,,,,,"  128",",,0,0800","  114",",,0",,
"USC00044534","1955-04-16","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  233",",,0","   78",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  144",",,0,0800","  106",",,0",,
"USC00044534","1955-04-17","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  267",",,0","   72",",,0",,,,,,,"  104",",,0,0800",,,,,,,,,,,"  117",",,0,0800","  201",",,0",,
"USC00044534","1955-04-18","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   18",",,0,0800","    0",",,0","    0",",,0","  222",",,0","   33",",,0",,,,,,,"   74",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  187",",,0",,
"USC00044534","1955-04-19","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   10",",,0,0800","    0",",,0","    0",",,0","  161",",,0","   11",",,0",,,,,,,"   48",",,0,0800",,,,,,,,,,,"   94",",,0,0800","  135",",,0",,
"USC00044534","1955-04-20","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   39",",,0",,,,,,,"   61",",,0,0800",,,,,,,,,,,"  128",",,0,0800","  101",",,0",,
"USC00044534","1955-04-21","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   15",",,0,0800","    0",",,0","    0",",,0","  233",",,0","   89",",,0",,,,,,,"  104",",,0,0800",,,,,,,,,,,"  100",",,0,0800","  253",",,0",,
"USC00044534","1955-04-22","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   41",",,0,0800","    0",",,0","    0",",,0","  172",",,0","   83",",,0",,,,,,,"   20",",,0,0800",,,,,,,,,,,"  122",",,0,0800","  151",",,0",,
"USC00044534","1955-04-23","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  217",",,0","   83",",,0",,,,,,,"   61",",,0,0800",,,,,,,,,,,"  111",",,0,0800","  130",",,0",,
"USC00044534","1955-04-24","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","  111",",,0",,,,,,,"   64",",,0,0800",,,,,,,,,,,"  150",",,0,0800","   77",",,0",,
"USC00044534","1955-04-25","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  261",",,0","   89",",,0",,,,,,,"   81",",,0,0800",,,,,,,,,,,"  106",",,0,0800","  106",",,0",,
"USC00044534","1955-04-26","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    5",",,0,0800","    0",",,0","    0",",,0","  183",",,0","   56",",,0",,,,,,,"   69",",,0,0800",,,,,,,,,,,"   89",",,0,0800","  261",",,0",,
"USC00044534","1955-04-27","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  167",",,0","   22",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"   78",",,0,0800","  174",",,0",,
"USC00044534","1955-04-28","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  189",",,0","   61",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  106",",,0,0800","  132",",,0",,
"USC00044534","1955-04-29","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","   78",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  111",",,0,0800","  137",",,0",,
"USC00044534","1955-04-30","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   76",",,0,0800","    0",",,0","    0",",,0","  200",",,0","   89",",,0",,,,,,,"   64",",,0,0800",,,,,,,,,,,"  100",",,0,0800","  201",",,0",,
"USC00044534","1955-05-01","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   89",",,0,0800","    0",",,0","    0",",,0","  133",",,0","   78",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"  100",",,0,0800","  129",",,0",,
"USC00044534","1955-05-02","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  156",",,0","   72",",,0",,,,,,,"   33",",,0,0800",,,,,,,,,,,"  111",",,0,0800","  146",",,0",,
"USC00044534","1955-05-03","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  206",",,0","   83",",,0",,,,,,,"   58",",,0,0800",,,,,,,,,,,"  128",",,0,0800","   85",",,0",,
"USC00044534","1955-05-04","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  239",",,0","   89",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  106",",,0,0800","   90",",,0",,
"USC00044534","1955-05-05","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","  100",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  156",",,0,0800","  127",",,0",,
"USC00044534","1955-05-06","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  278",",,0","  128",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  133",",,0,0800","  111",",,0",,
"USC00044534","1955-05-07","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   64",",,0,0800","    0",",,0","    0",",,0","  250",",,0","  106",",,0",,,,,,,"   25",",,0,0800",,,,,,,,,,,"  122",",,0,0800","  146",",,0",,
"USC00044534","1955-05-08","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","   86",",,0,0800","    0",",,0","    0",",,0","  183",",,0","  106",",,0",,,,,,,"   38",",,0,0800",,,,,,,,,,,"  122",",,0,0800","  113",",,0",,
"USC00044534","1955-05-09","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0","T,,0,0800","    0",",,0","    0",",,0","  206",",,0","  117",",,0",,,,,,,"   43",",,0,0800",,,,,,,,,,,"  144",",,0,0800","   95",",,0",,
"USC00044534","1955-05-10","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  244",",,0","  122",",,0",,,,,,,"   69",",,0,0800",,,,,,,,,,,"  183",",,0,0800","   85",",,0",,
"USC00044534","1955-05-11","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  328",",,0","  156",",,0",,,,,,,"   76",",,0,0800",,,,,,,,,,,"  244",",,0,0800","   85",",,0",,
"USC00044534","1955-05-12","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  350",",,0","  172",",,0",,,,,,,"  114",",,0,0800",,,,,,,,,,,"  239",",,0,0800","   92",",,0",,
"USC00044534","1955-05-13","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  356",",,0","  144",",,0",,,,,,,,,,,,,,,,,,,"  167",",,0,0800","  126",",,0",,
"USC00044534","1955-05-14","36.0067","-119.96","73.2","KETTLEMAN CITY, CA US","    0",",,0,0800","    0",",,0","    0",",,0","  278",",,0","  106",",,0",,,,,,,"  114",",,0,0800",,,,,,,,,,,"  139",",,0,0800","  166",",,0",,
