"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USW00023119","1949-01-11","33.9","-117.25","468.2","MARCH AFB, CA US","   84",",,X","   76",",,X","   51",",,X","   44",",,X","  -28",",,X",,," 0312",",,X",,,,,"   90","W,,X",,,,,"   94",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023119","1949-01-12","33.9","-117.25","468.2","MARCH AFB, CA US","  137",",,X","    0","T,,X","   25",",,X","   61",",,X","  -39",",,X",,," 1636",",,X",,,,,"   90","W,,X",,,,,"  139",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023119","1949-01-13","33.9","-117.25","468.2","MARCH AFB, CA US","  127",",,X","    0",",,X","    0",",,X","   44",",,X","   17",",,X",,," 1148",",,X",,,,,"  180","W,,X",,,,,"  139",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-01-14","33.9","-117.25","468.2","MARCH AFB, CA US","   28",",,X","    0",",,X","    0",",,X","   61",",,X","    6",",,X",,," 0100",",,X",,,,,"  180","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-01-15","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","  -22",",,X",,," 1630",",,X",,,,,"   23","W,,X",,,,,"  152",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-16","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   72",",,X","   22",",,X",,," 1206",",,X",,,,,"   45","W,,X",,,,,"  237",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-17","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  111",",,X","   -6",",,X",,," 0112",",,X",,,,,"   23","W,,X",,,,,"  134",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-18","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  122",",,X","   -6",",,X",,," 1712",",,X",,,,,"  180","W,,X",,,,,"   63",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-19","33.9","-117.25","468.2","MARCH AFB, CA US","   20",",,X","    0",",,X","    0",",,X","   67",",,X","   22",",,X",,," 0000",",,X",,,,,"  135","W,,X",,,,,"   67",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-01-20","33.9","-117.25","468.2","MARCH AFB, CA US","   25",",,X","    0",",,X","    0",",,X","   94",",,X","   56",",,X",,," 1448",",,X",,,,,"  315","W,,X",,,,,"   89",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-01-21","33.9","-117.25","468.2","MARCH AFB, CA US","    5",",,X","    0",",,X","    0",",,X","   83",",,X","   50",",,X",,," 1224",",,X",,,,,"  225","W,,X",,,,,"   67",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-01-22","33.9","-117.25","468.2","MARCH AFB, CA US","   48",",,X","    0",",,X","    0",",,X","   78",",,X","   39",",,X",,," 1354",",,X",,,,,"  225","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-01-23","33.9","-117.25","468.2","MARCH AFB, CA US","   41",",,X","    0","T,,X","    0",",,X","   78",",,X","   11",",,X",,," 1206",",,X",,,,,"  315","W,,X",,,,,"  152",",,X",,,,,,,,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00023119","1949-01-24","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","   78",",,X","  -17",",,X",,," 2224",",,X",,,,,"  338","W,,X",,,,,"  125",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-01-25","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","    6",",,X",,," 0300",",,X",,,,,"  360","W,,X",,,,,"  161",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-26","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  106",",,X","   -6",",,X",,," 1554",",,X",,,,,"  315","W,,X",,,,,"   89",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-27","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  111",",,X","   22",",,X",,," 1706",",,X",,,,,"  338","W,,X",,,,,"   58",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-28","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","   -6",",,X",,," 1430",",,X",,,,,"   23","W,,X",,,,,"  232",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-29","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  122",",,X","  -11",",,X",,," 0112",",,X",,,,,"   45","W,,X",,,,,"  139",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-30","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  133",",,X","  -11",",,X",,," 1730",",,X",,,,,"  338","W,,X",,,,,"   80",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-01-31","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  128",",,X","    0",",,X",,," 1024",",,X",,,,,"  113","W,,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-01","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  139",",,X","  -22",",,X",,," 1512",",,X",,,,,"  315","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-02","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  111",",,X","   22",",,X",,," 1354",",,X",,,,,"  293","W,,X",,,,,"   85",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-02-03","33.9","-117.25","468.2","MARCH AFB, CA US","   20",",,X","    0",",,X","    0",",,X","   78",",,X","   11",",,X",,," 1248",",,X",,,,,"  315","W,,X",,,,,"  112",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-02-04","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   94",",,X","   44",",,X",,," 1918",",,X",,,,,"  338","W,,X",,,,,"   63",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-05","33.9","-117.25","468.2","MARCH AFB, CA US","    3",",,X","    0",",,X","    0",",,X","   83",",,X","   33",",,X",,," 1148",",,X",,,,,"  338","W,,X",,,,,"   63",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-02-06","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  128",",,X","    0",",,X",,," 1930",",,X",,,,,"  338","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-07","33.9","-117.25","468.2","MARCH AFB, CA US","   81",",,X","    0",",,X","    0",",,X","   83",",,X","   44",",,X",,," 1812",",,X",,,,,"  270","W,,X",,,,,"   80",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-02-08","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   11",",,X",,," 0424",",,X",,,,,"   23","W,,X",,,,,"  112",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-02-09","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","   -6",",,X",,," 1854",",,X",,,,,"   45","W,,X",,,,,"   85",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-10","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  211",",,X","   44",",,X",,," 0742",",,X",,,,,"   90","W,,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-11","33.9","-117.25","468.2","MARCH AFB, CA US","    8",",,X","    0",",,X","    0",",,X","  133",",,X","   28",",,X",,," 2130",",,X",,,,,"  315","W,,X",,,,,"  148",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-02-12","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   89",",,X","    0",",,X",,," 1236",",,X",,,,,"  293","W,,X",,,,,"   89",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-13","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","   83",",,X","  -11",",,X",,," 1518",",,X",,,,,"   68","W,,X",,,,,"  125",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-14","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  117",",,X","  -17",",,X",,," 1100",",,X",,,,,"  203","W,,X",,,,,"   94",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-15","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","  -28",",,X",,," 1736",",,X",,,,,"  315","W,,X",,,,,"   72",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-16","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  217",",,X","   17",",,X",,," 1754",",,X",,,,,"   45","W,,X",,,,,"   76",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-17","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","   44",",,X",,," 1700",",,X",,,,,"  315","W,,X",,,,,"   80",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-18","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   39",",,X",,," 1500",",,X",,,,,"  315","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-19","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   33",",,X",,," 1354",",,X",,,,,"  315","W,,X",,,,,"   85",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-20","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   67",",,X",,," 1642",",,X",,,,,"  315","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-21","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","   44",",,X",,," 1712",",,X",,,,,"  315","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-22","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","   56",",,X",,," 1524",",,X",,,,,"  315","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-02-23","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","   56",",,X",,," 1712",",,X",,,,,"  360","W,,X",,,,,"   94",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-02-24","33.9","-117.25","468.2","MARCH AFB, CA US","   23",",,X","    0",",,X","    0",",,X","  117",",,X","   83",",,X",,," 1254",",,X",,,,,"  180","W,,X",,,,,"   98",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-02-25","33.9","-117.25","468.2","MARCH AFB, CA US","    5",",,X","    0",",,X","    0",",,X","  133",",,X","   78",",,X",,," 2130",",,X",,,,,"  315","W,,X",,,,,"   80",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-02-26","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  106",",,X","   72",",,X",,," 1700",",,X",,,,,"  180","W,,X",,,,,"   89",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-02-27","33.9","-117.25","468.2","MARCH AFB, CA US","   28",",,X","    0","T,,X","    0",",,X","  111",",,X","   56",",,X",,," 1442",",,X",,,,,"  180","W,,X",,,,,"   89",",,X",,,,,,,,,"    1",",,X",,,,,,,"    1",",,X",,
"USW00023119","1949-02-28","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  139",",,X","   61",",,X",,," 1830",",,X",,,,,"  338","W,,X",,,,,"   67",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-01","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  183",",,X","   39",",,X",,," 1518",",,X",,,,,"  315","W,,X",,,,,"   98",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-02","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  150",",,X","   72",",,X",,," 1054",",,X",,,,,"  180","W,,X",,,,,"   85",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-03","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","   39",",,X",,," 1542",",,X",,,,,"  315","W,,X",,,,,"   85",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-04","33.9","-117.25","468.2","MARCH AFB, CA US","   64",",,X","    0",",,X","    0",",,X","  167",",,X","   39",",,X",,," 1712",",,X",,,,,"  315","W,,X",,,,,"  107",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-05","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  144",",,X","   61",",,X",,," 1354",",,X",,,,,"  315","W,,X",,,,,"   80",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-06","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   28",",,X",,," 1542",",,X",,,,,"  315","W,,X",,,,,"   89",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-07","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  133",",,X","   56",",,X",,," 1612",",,X",,,,,"  293","W,,X",,,,,"   94",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-08","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   44",",,X",,," 1730",",,X",,,,,"  338","W,,X",,,,,"   85",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-09","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   39",",,X",,," 1418",",,X",,,,,"  315","W,,X",,,,,"   98",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-10","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  189",",,X","   22",",,X",,," 1724",",,X",,,,,"  315","W,,X",,,,,"   89",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-11","33.9","-117.25","468.2","MARCH AFB, CA US","    8",",,X","    0",",,X","    0",",,X","  150",",,X","   61",",,X",,," 0236",",,X",,,,,"  315","W,,X",,,,,"  107",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-12","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  139",",,X","   28",",,X",,," 1248",",,X",,,,,"  315","W,,X",,,,,"   76",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-13","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  194",",,X","   28",",,X",,," 1312",",,X",,,,,"  315","W,,X",,,,,"   80",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-14","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  233",",,X","   56",",,X",,," 1430",",,X",,,,,"  315","W,,X",,,,,"   63",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-15","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  211",",,X","   72",",,X",,," 1430",",,X",,,,,"  338","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-16","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  167",",,X","   61",",,X",,," 1518",",,X",,,,,"  315","W,,X",,,,,"   85",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-17","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   83",",,X",,," 1500",",,X",,,,,"  315","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-18","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   61",",,X",,," 1418",",,X",,,,,"  315","W,,X",,,,,"   80",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-19","33.9","-117.25","468.2","MARCH AFB, CA US","   15",",,X","    0",",,X","    0",",,X","  189",",,X","   50",",,X",,," 1342",",,X",,,,,"  270","W,,X",,,,,"  107",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-03-20","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  167",",,X","   72",",,X",,," 1830",",,X",,,,,"  338","W,,X",,,,,"   89",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-21","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  222",",,X","   39",",,X",,," 1530",",,X",,,,,"  315","W,,X",,,,,"  103",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-22","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  156",",,X","   67",",,X",,," 1612",",,X",,,,,"  270","W,,X",,,,,"  143",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-23","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  133",",,X","   50",",,X",,," 1300",",,X",,,,,"  315","W,,X",,,,,"  116",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-24","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   39",",,X",,," 1206",",,X",,,,,"  203","W,,X",,,,,"   89",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-03-25","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","   28",",,X",,," 1530",",,X",,,,,"  315","W,,X",,,,,"  121",",,X","    1",",,X",,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-26","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  172",",,X","   61",",,X",,," 1348",",,X",,,,,"  315","W,,X",,,,,"   72",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-27","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  200",",,X","   50",",,X",,," 1506",",,X",,,,,"  315","W,,X",,,,,"   80",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-03-28","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  139",",,X","   50",",,X",,," 1200",",,X",,,,,"  293","W,,X",,,,,"  134",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-03-29","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  161",",,X","   33",",,X",,," 1030",",,X",,,,,"   45","W,,X",,,,,"  143",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-30","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  167",",,X","   17",",,X",,," 1642",",,X",,,,,"  203","W,,X",,,,,"  152",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-03-31","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  122",",,X","   22",",,X",,," 1430",",,X",,,,,"  315","W,,X",,,,,"   94",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-04-01","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  150",",,X","   50",",,X",,," 1754",",,X",,,,,"  315","W,,X",,,,,"   98",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00023119","1949-04-02","33.9","-117.25","468.2","MARCH AFB, CA US","    0","T,,X","    0",",,X","    0",",,X","  117",",,X","   67",",,X",,," 1712",",,X",,,,,"  338","W,,X",,,,,"   76",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,
"USW00023119","1949-04-03","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  228",",,X","   33",",,X",,," 1636",",,X",,,,,"  315","W,,X",,,,,"  143",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,,,,
"USW00023119","1949-04-04","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  267",",,X","   44",",,X",,," 1706",",,X",,,,,"  315","W,,X",,,,,"  112",",,X",,,,,,,,,,,,,,,,,,,,
"USW00023119","1949-04-05","33.9","-117.25","468.2","MARCH AFB, CA US","    0",",,X","    0",",,X","    0",",,X","  261",",,X","   83",",,X",,," 1442",",,X",,,,,"  315","W,,X",,,,,"   58",",,X",,,,,,,,,,,,,,,,,,,,
